"Ptagis_ID","Year","Brood_Year","prec_parr_m2"
"BEARVC",2001,2000,0.961704910465273
"BIG2C",2001,2000,0
"CHAMWF",2001,2000,0
"ELKC",2001,2000,0
"HERDC",2001,2000,6.6972828166858
"LAKEC",2001,2000,2.03262360892322
"MARSHC",2001,2000,0
"SALRSF",2001,2000,0.310945273631841
"SECESR",2001,2000,0.236568806037236
"VALEYC",2001,2000,4.96759237356295
"BEARVC",2002,2001,0.381010439686047
"BIG2C",2002,2001,2.64567762418149
"BIGC",2002,2001,0
"CAMASC",2002,2001,0
"CAPEHC",2002,2001,10.6697307944846
"CHAMBC",2002,2001,0
"CHAMWF",2002,2001,0
"ELKC",2002,2001,0.660763843002511
"HERDC",2002,2001,0
"LAKEC",2002,2001,1.42186833499218
"LOONC",2002,2001,0
"MARSHC",2002,2001,0
"SALRSF",2002,2001,1.9723865877712
"SECESR",2002,2001,0.796527141662352
"SULFUC",2002,2001,0.588304506412519
"VALEYC",2002,2001,1.58900409168554
"BEARVC",2003,2002,4.83091787439614
"BIG2C",2003,2002,3.65682137834037
"BIGC",2003,2002,0
"CAMASC",2003,2002,0.548757065247215
"CAPEHC",2003,2002,7.11743772241993
"CHAMBC",2003,2002,5.56483027267668
"CHAMWF",2003,2002,11.1111111111111
"ELKC",2003,2002,0.48878244293465
"HERDC",2003,2002,0
"LAKEC",2003,2002,0.902527075812274
"LOONC",2003,2002,0
"MARSHC",2003,2002,0
"SALRSF",2003,2002,0.782533844588779
"SECESR",2003,2002,0.727960981291403
"SULFUC",2003,2002,42.8571428571429
"VALEYC",2003,2002,4.2870616479465
"BEARVC",2004,2003,0.58343057176196
"BIG2C",2004,2003,5.63063063063063
"BIGC",2004,2003,0
"CAMASC",2004,2003,0
"CAPEHC",2004,2003,8.15926892950392
"CHAMBC",2004,2003,0.993245927691697
"CHAMWF",2004,2003,12.8205128205128
"ELKC",2004,2003,3.86548125241593
"HERDC",2004,2003,1.79396331345024
"LAKEC",2004,2003,1.24786822511543
"LOONC",2004,2003,0
"MARSHC",2004,2003,6.64451827242525
"SALRSF",2004,2003,5.22169500760551
"SECESR",2004,2003,1.22588079535146
"SULFUC",2004,2003,24.1758241758242
"VALEYC",2004,2003,6.01426239367643
"BEARVC",2005,2004,6.2061521856449
"BIG2C",2005,2004,7.33227422705609
"BIGC",2005,2004,0
"CAMASC",2005,2004,0.467989517034818
"CAPEHC",2005,2004,9.78952520802741
"CHAMWF",2005,2004,0
"ELKC",2005,2004,20.7788725785911
"HERDC",2005,2004,10.588831085125
"LAKEC",2005,2004,0.928850083596508
"LOONC",2005,2004,0
"MARSHC",2005,2004,1.87906347476418
"SALRSF",2005,2004,1.18221941992434
"SECESR",2005,2004,0.32796562920206
"SULFUC",2005,2004,21.9335245486756
"VALEYC",2005,2004,11.7537144751514
"BEARVC",2006,2005,0.968179177693152
"BIG2C",2006,2005,4.27110861963108
"BIGC",2006,2005,0
"CAMASC",2006,2005,0
"CAPEHC",2006,2005,2.37304224015187
"CHAMBC",2006,2005,24.8524386455421
"CHAMWF",2006,2005,30.7692307692308
"ELKC",2006,2005,0.671614224789281
"HERDC",2006,2005,1.08778418361797
"LAKEC",2006,2005,5.35937593044721
"SECESR",2006,2005,3.02015265498874
"VALEYC",2006,2005,2.75906133828996
"BEARVC",2007,2006,0
"BIG2C",2007,2006,0.304302842188546
"BIGC",2007,2006,0
"CAMASC",2007,2006,0.44243872223697
"CAPEHC",2007,2006,4.42338072669826
"ELKC",2007,2006,5.53437461566843
"HERDC",2007,2006,0
"LAKEC",2007,2006,27.7178934400986
"LOONC",2007,2006,0.405728891954396
"MARSHC",2007,2006,0
"SULFUC",2007,2006,0.572819704997852
"VALEYC",2007,2006,3.01386377335744
"BEARVC",2008,2007,0
"BIG2C",2008,2007,0.247892910262766
"BIGC",2008,2007,0.233775949130353
"CAMASC",2008,2007,0
"CHAMBC",2008,2007,3.68697575813439
"CHAMWF",2008,2007,0
"ELKC",2008,2007,3.7593984962406
"LAKEC",2008,2007,1.43947027493882
"LOONC",2008,2007,0
"MARSHC",2008,2007,0
"SALRSF",2008,2007,0.550782110597048
"SECESR",2008,2007,0.459368827231384
"SULFUC",2008,2007,1.2293570462648
"VALEYC",2008,2007,0.745091708371105
"BEARVC",2009,2008,2.74788184108083
"BIG2C",2009,2008,7.4329705335811
"BIGC",2009,2008,0
"CAMASC",2009,2008,0
"CAPEHC",2009,2008,13.2270758242122
"CHAMBC",2009,2008,0.728279076542131
"CHAMWF",2009,2008,0
"ELKC",2009,2008,4.9368784822625
"HERDC",2009,2008,0
"LAKEC",2009,2008,1.95407914020518
"LOONC",2009,2008,0
"MARSHC",2009,2008,1.75932441942294
"SALRSF",2009,2008,0
"SECESR",2009,2008,1.37650038542011
"SULFUC",2009,2008,2.66744911840807
"VALEYC",2009,2008,5.67008221619213
"BEARVC",2010,2009,1.43612132352941
"BIG2C",2010,2009,7.37003231475707
"BIGC",2010,2009,0.256029494597778
"CAMASC",2010,2009,0
"CAPEHC",2010,2009,12.5140783381304
"CHAMBC",2010,2009,4.91853673532124
"CHAMWF",2010,2009,9.09090909090909
"ELKC",2010,2009,5.86235197561262
"HERDC",2010,2009,6.62171923910426
"LAKEC",2010,2009,3.62253214997283
"LOONC",2010,2009,0.357640999964236
"MARSHC",2010,2009,2.70570091182121
"SALRSF",2010,2009,1.21491920787268
"SECESR",2010,2009,0.887495192734373
"SULFUC",2010,2009,3.43642611683849
"VALEYC",2010,2009,3.17592647730205
"BEARVC",2011,2010,2.24001792014336
"BIG2C",2011,2010,9.96737948532077
"BIGC",2011,2010,0.298819662333782
"CHAMBC",2011,2010,4.26839679016561
"CHAMWF",2011,2010,11.3207547169811
"ELKC",2011,2010,1.1736170878648
"HERDC",2011,2010,9.09031881046685
"LAKEC",2011,2010,5.63264888115111
"LOONC",2011,2010,0
"MARSHC",2011,2010,0.40908161178155
"SALRSF",2011,2010,0.540891389009087
"SECESR",2011,2010,2.62605042016807
"SULFUC",2011,2010,1.70247539923048
"VALEYC",2011,2010,5.63296277274309
"BEARVC",2012,2011,2.86532951289398
"BIG2C",2012,2011,4.97605274615911
"BIGC",2012,2011,0
"CAMASC",2012,2011,0
"CHAMBC",2012,2011,6.56491055309371
"CHAMWF",2012,2011,74.2857142857143
"ELKC",2012,2011,7.99520287827304
"HERDC",2012,2011,4.19170043314238
"LAKEC",2012,2011,8.44426783230678
"LOONC",2012,2011,0.307967109112747
"SALRSF",2012,2011,0.368595650571323
"SECESR",2012,2011,0.341029226204686
"SULFUC",2012,2011,3.78229131207686
"VALEYC",2012,2011,8.63040721431591
"BEARVC",2013,2012,1.97745699031046
"BIG2C",2013,2012,3.43906245866511
"BIGC",2013,2012,0
"CAMASC",2013,2012,0.832916874895886
"CAPEHC",2013,2012,5.00058830450641
"CHAMBC",2013,2012,2.74273176083379
"CHAMWF",2013,2012,0
"ELKC",2013,2012,3.35377539287083
"HERDC",2013,2012,14.6871008939974
"LAKEC",2013,2012,6.0967348597751
"LOONC",2013,2012,0
"MARSHC",2013,2012,1.90210499619579
"SALRSF",2013,2012,0
"SECESR",2013,2012,1.49381932255294
"VALEYC",2013,2012,3.7252485887039
"BEARVC",2014,2013,0
"BIG2C",2014,2013,2.8199022433889
"BIGC",2014,2013,0.249022586348582
"CAMASC",2014,2013,1.28205128205128
"CAPEHC",2014,2013,16.2411485740272
"CHAMBC",2014,2013,0.741399762752076
"CHAMWF",2014,2013,1.75438596491228
"ELKC",2014,2013,7.23981900452489
"HERDC",2014,2013,0
"LAKEC",2014,2013,5.47454337331409
"LOONC",2014,2013,0
"MARSHC",2014,2013,2.46457178065311
"SALRSF",2014,2013,0
"SECESR",2014,2013,2.12908327757163
"SULFUC",2014,2013,0
"VALEYC",2014,2013,6.99583931661696
"BEARVC",2015,2014,1.52594099694812
"BIG2C",2015,2014,0
"BIGC",2015,2014,0
"CAMASC",2015,2014,0
"CAPEHC",2015,2014,0.680457267283615
"CHAMBC",2015,2014,0.540745146812307
"CHAMWF",2015,2014,0
"ELKC",2015,2014,0
"HERDC",2015,2014,4.54921422663358
"LAKEC",2015,2014,2.6653872807719
"LOONC",2015,2014,0
"MARSHC",2015,2014,0.411861614497529
"SALRSF",2015,2014,0
"SECESR",2015,2014,0
"SULFUC",2015,2014,0
"VALEYC",2015,2014,0
"BEARVC",2016,2015,1.58356709800018
"BIG2C",2016,2015,8.76168224299066
"BIGC",2016,2015,0
"CAMASC",2016,2015,0
"CAPEHC",2016,2015,5.38444970923972
"CHAMBC",2016,2015,1.51434845157871
"CHAMWF",2016,2015,0.826446280991736
"ELKC",2016,2015,0
"HERDC",2016,2015,0.402965828497743
"LAKEC",2016,2015,5.71020699500357
"LOONC",2016,2015,0
"MARSHC",2016,2015,0.348043992760685
"SALRSF",2016,2015,0
"SECESR",2016,2015,0.73227885178676
"SULFUC",2016,2015,2.44107515799181
"VALEYC",2016,2015,1.06207848760023
"BEARVC",2017,2016,0
"BIG2C",2017,2016,3.84319754035357
"BIGC",2017,2016,0
"CAPEHC",2017,2016,3.12581401406616
"ELKC",2017,2016,1.4030164854437
"HERDC",2017,2016,1.09926349345938
"LAKEC",2017,2016,17.5074568797821
"LOONC",2017,2016,0
"MARSHC",2017,2016,0
"SALRSF",2017,2016,0.744934445768772
"SECESR",2017,2016,0
"VALEYC",2017,2016,0.528401585204756
"BEARVC",2018,2017,0
"BIG2C",2018,2017,3.16484311420562
"BIGC",2018,2017,0
"CHAMBC",2018,2017,18.577648766328
"ELKC",2018,2017,8.3509989079463
"HERDC",2018,2017,6.07127678950883
"LAKEC",2018,2017,4.23948372509303
"SALRSF",2018,2017,3.0857848179387
"SECESR",2018,2017,1.01351351351351
"VALEYC",2018,2017,2.47026855348131
"BEARVC",2019,2018,0
"BIG2C",2019,2018,1.40252454417952
"BIGC",2019,2018,0
"CAMASC",2019,2018,0
"CAPEHC",2019,2018,9.72762645914397
"CHAMBC",2019,2018,3.80558877894966
"CHAMWF",2019,2018,0
"ELKC",2019,2018,0
"HERDC",2019,2018,1.17219552221311
"LAKEC",2019,2018,8.88713340574701
"LOONC",2019,2018,0.753522718709969
"MARSHC",2019,2018,0.886564120750033
"SALRSF",2019,2018,3.49711488022382
"SECESR",2019,2018,1.20033609410635
"SULFUC",2019,2018,1.26095454258874
"VALEYC",2019,2018,1.98513981056094
"BEARVC",2021,2020,1.12167353691708
"BIG2C",2021,2020,1.39230519329837
"CAPEHC",2021,2020,13.137465663442
"CHAMBC",2021,2020,0
"ELKC",2021,2020,0.784806152880239
"LAKEC",2021,2020,6.83560373028661
"LOONC",2021,2020,0
"MARSHC",2021,2020,2.35363342159459
"SALRSF",2021,2020,6.84404140645051
"SECESR",2021,2020,3.4794711203897
"VALEYC",2021,2020,0.609533097647202
"BEARVC",2022,2021,0.684205124696384
"CAPEHC",2022,2021,15.9034823142309
"ELKC",2022,2021,1.7472335468841
"MARSHC",2022,2021,2.71444082519001
"SALRSF",2022,2021,0.250884367395068
"BEARVC",2023,2022,2.51524869521474
"CAPEHC",2023,2022,0
"ELKC",2023,2022,10.6951871657754
"LAKEC",2023,2022,9.73434654273692
"MARSHC",2023,2022,1.75932441942294
